연도,오염종류,도시,지역,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
2018,이산화황,서울,서울,0.006,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.003,0.004,0.005,0.005,0.004
2018,이산화황,부산,부산,0.004,0.005,0.005,0.005,0.006,0.006,0.007,0.005,0.004,0.004,0.004,0.004,0.005
2018,이산화황,대구,대구,0.004,0.004,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.004,0.003
2018,이산화황,인천,인천,0.006,0.006,0.005,0.005,0.004,0.005,0.004,0.004,0.004,0.004,0.005,0.005,0.005
2018,이산화황,광주,광주,0.003,0.003,0.002,0.002,0.002,0.002,0.003,0.003,0.002,0.003,0.003,0.003,0.003
2018,이산화황,대전,대전,0.003,0.004,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.002
2018,이산화황,울산,울산,0.004,0.005,0.006,0.007,0.007,0.008,0.009,0.006,0.004,0.004,0.004,0.004,0.006
2018,이산화황,세종,세종,0.003,0.003,0.002,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.003,0.004,0.003
2018,이산화황,경기,수원,0.004,0.004,0.004,0.003,0.003,0.004,0.004,0.003,0.002,0.003,0.003,0.004,0.003
2018,이산화황,경기,안양,0.006,0.006,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.004,0.004
2018,이산화황,경기,성남,0.005,0.005,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004
2018,이산화황,경기,의정부,0.005,0.005,0.004,0.004,0.003,0.003,0.003,0.002,0.002,0.002,0.003,0.005,0.003
2018,이산화황,경기,광명,0.005,0.005,0.004,0.004,0.003,0.003,0.003,0.003,0.002,0.003,0.004,0.005,0.004
2018,이산화황,경기,안산,0.006,0.006,0.006,0.006,0.005,0.006,0.005,0.004,0.003,0.004,0.005,0.005,0.005
2018,이산화황,경기,평택,0.007,0.007,0.006,0.005,0.005,0.006,0.006,0.005,0.004,0.004,0.004,0.004,0.005
2018,이산화황,경기,과천,0.005,0.005,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.003,0.003,0.004,0.003
2018,이산화황,경기,구리,0.006,0.005,0.004,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003
2018,이산화황,경기,의왕,0.005,0.005,0.004,0.004,0.003,0.003,0.003,0.003,0.002,0.002,0.003,0.004,0.003
2018,이산화황,경기,고양,0.007,0.007,0.005,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.005,0.005,0.004
2018,이산화황,경기,광주,0.004,0.005,0.004,0.004,0.003,0.004,0.005,0.004,0.004,0.003,0.004,0.005,0.004
2018,이산화황,경기,군포,0.006,0.005,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.004,0.004,0.004
2018,이산화황,경기,시흥,0.006,0.006,0.007,0.007,0.006,0.006,0.004,0.004,0.003,0.003,0.004,0.005,0.005
2018,이산화황,경기,부천,0.005,0.005,0.005,0.005,0.004,0.005,0.004,0.003,0.003,0.004,0.004,0.005,0.004
2018,이산화황,경기,남양주,0.004,0.004,0.003,0.003,0.002,0.002,0.003,0.003,0.002,0.002,0.003,0.003,0.003
2018,이산화황,경기,용인,0.005,0.005,0.004,0.004,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.004,0.004
2018,이산화황,경기,김포,0.005,0.005,0.005,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004
2018,이산화황,경기,오산,0.005,0.005,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004
2018,이산화황,경기,하남,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004
2018,이산화황,경기,화성,0.005,0.005,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.004
2018,이산화황,경기,양주,0.008,0.007,0.005,0.004,0.004,0.003,0.004,0.004,0.003,0.003,0.003,0.004,0.004
2018,이산화황,경기,동두천,0.005,0.006,0.005,0.004,0.003,0.004,0.004,0.003,0.003,0.003,0.004,0.005,0.004
2018,이산화황,경기,안성,0.005,0.005,0.004,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.003,0.004,0.003
2018,이산화황,경기,이천,0.007,0.007,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004
2018,이산화황,경기,파주,0.005,0.005,0.003,0.003,0.002,0.002,0.003,0.002,0.002,0.003,0.003,0.005,0.003
2018,이산화황,경기,포천,0.005,0.005,0.005,0.004,0.004,0.003,0.003,0.003,0.003,0.004,0.004,0.005,0.004
2018,이산화황,경기,여주,0.007,0.007,0.004,0.003,0.003,0.003,0.004,0.004,0.004,0.003,0.003,0.004,0.004
2018,이산화황,경기,연천,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.003
2018,이산화황,경기,가평,0.005,0.004,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.003
2018,이산화황,경기,양평,0.004,0.003,0.003,0.003,0.002,0.003,0.002,0.002,0.002,0.002,0.003,0.003,0.003
2018,이산화황,강원,고성,,,,,,,,,,,,0.002,0.002
2018,이산화황,강원,횡성,,,,,,,,,,,,0.002,0.002
2018,이산화황,강원,춘천,0.004,0.004,0.004,0.003,0.003,0.003,0.002,0.002,0.003,0.003,0.003,0.004,0.003
2018,이산화황,강원,강릉,0.005,0.005,0.005,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.004,0.003
2018,이산화황,강원,원주,0.006,0.006,0.004,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.004,0.003
2018,이산화황,강원,동해,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.002
2018,이산화황,강원,삼척,0.004,0.004,0.003,0.002,0.002,0.002,0.002,0.001,0.001,0.002,0.003,0.003,0.002
2018,이산화황,강원,평창,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001
2018,이산화황,충북,청주,0.004,0.004,0.003,0.004,0.003,0.004,0.003,0.004,0.003,0.003,0.004,0.004,0.004
2018,이산화황,충북,충주,0.004,0.005,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.003
2018,이산화황,충북,제천,0.008,0.007,0.006,0.004,0.003,0.004,0.004,0.005,0.004,0.005,0.006,0.006,0.005
2018,이산화황,충북,단양,0.005,0.005,0.005,0.004,0.004,0.003,0.003,0.002,0.002,0.002,0.003,0.003,0.003
2018,이산화황,충북,진천,0.004,0.004,0.005,0.003,0.003,0.005,0.004,0.003,0.002,0.002,0.003,0.004,0.004
2018,이산화황,충북,옥천,0.004,0.004,0.003,0.002,0.002,0.003,0.003,0.003,0.003,0.002,0.004,0.005,0.003
2018,이산화황,충북,영동,,,,0.002,0.002,0.002,0.002,0.002,0.003,0.006,0.004,0.005,0.003
2018,이산화황,충북,증평,,,,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.002
2018,이산화황,충남,천안,0.004,0.004,0.003,0.003,0.003,0.004,0.004,0.003,0.003,0.004,0.004,0.004,0.004
2018,이산화황,충남,당진,0.006,0.007,0.005,0.006,0.006,0.007,0.006,0.007,0.006,0.006,0.006,0.008,0.006
2018,이산화황,충남,서산,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.004,0.004,0.005,0.005,0.004
2018,이산화황,충남,아산,0.004,0.004,0.003,0.004,0.004,0.005,0.003,0.004,0.003,0.003,0.004,0.004,0.004
2018,이산화황,충남,논산,0.004,0.005,0.003,0.003,0.002,0.003,0.003,0.002,0.003,0.003,0.003,0.004,0.003
2018,이산화황,충남,태안,0.004,0.004,0.003,0.003,0.003,0.004,0.004,0.004,0.003,0.003,0.004,0.004,0.004
