연도,분기,서울,경기,강원,충북,충남,전북,전남,경북,경남,제주,총합
2018년,1,5,75,0,3,0,0,0,1,4,0,88
2019년,1,0,7,0,17,2,0,0,11,10,0,47
2020년,1,0,0,0,15,0,3,3,9,8,0,38
2021년,1,0,0,0,0,0,1,2,13,0,0,16
2022년,1,0,11,5,2,12,99,164,144,159,139,735
2023년,1,0,22,2,1,0,0,0,8,0,9,42
2018년,2,1,2,9,9,17,6,15,12,2,0,73
2019년,2,5,63,13,11,3,23,6,40,0,1,165
2020년,2,0,16,45,26,11,3,14,41,12,21,189
2021년,2,0,0,23,16,8,0,7,51,21,0,126
2022년,2,20,165,82,77,99,0,15,72,45,0,575
2023년,2,0,0,4,20,31,1,4,61,4,3,128
2018년,3,0,118,19,28,3,14,0,51,5,0,238
2019년,3,2,1,12,8,6,0,18,30,0,0,79
2020년,3,0,4,9,1,10,0,0,27,8,0,59
2021년,3,0,134,0,60,6,0,4,5,1,0,210
2022년,3,0,0,22,8,15,27,11,24,4,0,111
2023년,3,0,0,4,10,3,0,0,64,12,2,95
