연도,분기,지역,평균,중앙값,분산
2018,1,경기,62.10539658101508,62.0,486.49023858553767
2018,2,경기,70.88437652457114,74.0,475.4429205926157
2018,3,경기,77.07495688675588,81.0,315.8534092234961
2018,4,경기,68.50629322903679,71.0,507.01287841763803
2019,1,경기,60.782457786116325,61.0,528.2283820105072
2019,2,경기,65.62679666032551,68.0,547.8285620669026
2019,3,경기,79.94712368805634,85.0,291.3143997167288
2019,4,경기,72.90345875114241,76.0,412.6558960512005
2020,1,경기,66.37739586226887,68.0,490.6153425698185
2020,2,경기,68.75199198318424,72.0,562.1607406517008
2020,3,경기,83.03753417264076,88.0,258.8801207136354
2020,4,경기,67.52816972896153,69.0,491.3906884548835
2021,1,경기,64.22943320778342,64.0,516.3604771088152
2021,2,경기,70.53260976197059,74.0,505.61873049020187
2021,3,경기,78.7891820813188,81.0,274.5958078582411
2021,4,경기,72.3508568544412,75.0,445.00748997951706
2022,1,경기,61.628899329283726,62.0,465.13912986238074
2022,2,경기,65.23561730845573,67.0,520.1698768609061
2022,3,경기,80.87504403240786,85.0,263.08891965428535
2022,4,경기,70.52025300679254,73.0,456.9695606012256
2023,1,경기,62.15788642287339,63.0,533.0256920946122
2023,2,경기,69.1255479167628,73.0,558.2187708476122
2023,3,경기,83.13163863601297,88.0,229.15763005387873
2023,4,경기,72.60188401666808,75.0,405.5097019069039
2018,1,서울,55.42754729324538,53.0,399.1678593622855
2018,2,서울,65.2673393204934,65.0,467.8629828088718
2018,3,서울,71.71894012167787,72.0,304.20874172919633
2018,4,서울,60.07761446836411,58.0,462.5072944101679
2019,1,서울,52.13898383639418,50.0,427.6590815895536
2019,2,서울,57.97260825780463,57.0,480.7343017512065
2019,3,서울,74.5559820124309,76.0,313.896506449264
2019,4,서울,65.67236823412416,65.0,393.3062191881482
2020,1,서울,59.395398148944096,59.0,420.01125855185745
2020,2,서울,62.679841554386165,62.0,506.9723257346166
2020,3,서울,78.57444682369736,82.0,285.7648506711743
2020,4,서울,59.23962861589653,58.0,391.4343248748167
2021,1,서울,56.83432823615995,54.0,452.0157838690339
2021,2,서울,64.01767634854772,65.0,491.80463373297397
2021,3,서울,71.96262558284863,71.0,273.05902854900444
2021,4,서울,63.98916462775254,64.0,396.47892136876817
2022,1,서울,53.80927596321373,51.0,366.37088391623377
2022,2,서울,58.90755731051881,58.0,462.7141638844009
2022,3,서울,74.53187774808173,76.0,280.0339660051856
2022,4,서울,61.800525271818984,61.0,389.4903393203891
2023,1,서울,53.751501334519574,52.0,435.017800937738
2023,2,서울,62.028424199079424,63.0,535.6979266915721
2023,3,서울,77.44043163899285,79.0,251.2092683321693
2023,4,서울,65.2005359056806,65.0,359.75438617915336
2018,1,강원,59.556017838012906,59.0,553.5897254656664
2018,2,강원,71.50019699581384,77.0,553.6766245743796
2018,3,강원,83.36527179653855,90.0,253.1789449143034
2018,4,강원,69.43394520156748,74.0,598.1142261420538
2019,1,강원,58.909812022960956,59.0,589.6729333789503
2019,2,강원,66.06341618125981,70.0,659.0640673475
2019,3,강원,85.10332178984781,92.0,218.21169779418355
2019,4,강원,73.66776291146637,79.0,496.4571496225091
2020,1,강원,67.64263463343859,70.0,539.256861250659
2020,2,강원,69.45325734188238,73.0,565.4067812284236
2020,3,강원,86.34665126860116,93.0,194.4345141268133
2020,4,강원,65.73010116814065,68.0,565.5424010597942
2021,1,강원,61.85692587888197,63.0,598.3388202306212
2021,2,강원,71.80593144481887,77.0,549.9493579134624
2021,3,강원,85.57189808514775,92.0,205.48264099438222
2021,4,강원,71.8641101023372,75.0,508.41451641122717
2022,1,강원,61.09603428248139,62.0,559.6048804498924
2022,2,강원,66.20897724163365,69.0,610.2246239823626
2022,3,강원,85.60578659709844,92.0,220.05101069393655
2022,4,강원,69.75765072112966,74.0,566.3682061728725
2023,1,강원,61.3539740215843,63.0,618.6518315587999
2023,2,강원,69.57432376146897,74.0,606.9481505042543
2023,3,강원,86.31443896867033,92.0,195.08864742470547
2023,4,강원,71.24783049701341,75.0,510.17228236036397
2018,1,충북,64.08773272124458,65.0,504.51625363744057
2018,2,충북,69.6356676217765,73.0,509.54954385614604
2018,3,충북,78.74862755773331,83.0,313.74845266593866
2018,4,충북,74.69279336159467,81.0,485.5745059814275
2019,1,충북,62.6760847394771,64.0,507.168075568092
2019,2,충북,64.67661270008473,67.0,598.5087735767746
2019,3,충북,81.48557114682747,86.0,277.10557367688966
2019,4,충북,76.57077356092246,81.0,403.3776717293621
2020,1,충북,68.1726889214967,71.0,495.3259040936211
2020,2,충북,66.86764943364015,69.0,576.0440110921606
