연도,분기,지역,평균,중앙값,분산
2018,1,경기,62.24400000000001,63.24,31.917297142857134
2018,2,경기,52.40533333333333,53.53,9.605255238095245
2018,3,경기,54.03466666666667,54.55,12.82386952380952
2018,4,경기,60.63199999999999,62.9,42.38610285714287
2019,1,경기,62.63666666666667,61.35,53.76573809523811
2019,2,경기,57.768666666666654,53.72,77.58522666666668
2019,3,경기,42.696000000000005,40.71,120.86175428571428
2019,4,경기,55.89933333333333,54.9,63.28226380952379
2020,1,경기,59.572,60.83,47.62028857142857
2020,2,경기,54.956,50.82,164.25916857142857
2020,3,경기,34.66600000000001,31.78,143.28376857142857
2020,4,경기,62.41266666666668,62.06,31.42709238095237
2021,1,경기,61.42933333333334,62.15,13.370392380952383
2021,2,경기,48.971333333333334,47.78,41.81415523809523
2021,3,경기,45.198,44.97,95.74611714285712
2021,4,경기,54.47866666666667,54.77,50.4511980952381
2022,1,경기,61.86333333333334,63.85,123.00149523809526
2022,2,경기,55.20666666666667,62.5,242.3419523809523
2022,3,경기,41.128,41.69,122.73100285714284
2022,4,경기,59.55799999999999,58.27,44.06190285714284
2023,1,경기,62.236000000000004,61.49,14.373668571428583
2023,2,경기,48.15133333333333,47.5,16.57702666666667
2023,3,경기,38.949333333333335,38.28,25.896306666666664
2023,4,경기,51.855333333333334,50.96,33.55996952380952
2018,1,서울,62.64000000000001,65.01,29.968300000000003
2018,2,서울,54.23666666666666,53.51,4.159633333333338
2018,3,서울,55.47666666666667,55.19,8.942033333333338
2018,4,서울,64.82666666666667,66.92,35.20903333333335
2019,1,서울,62.660000000000004,62.98,56.47690000000002
2019,2,서울,60.23666666666667,56.13,95.64063333333338
2019,3,서울,45.75,45.22,158.34130000000005
2019,4,서울,63.06,66.45,50.0283
2020,1,서울,62.56333333333333,58.99,50.792933333333295
2020,2,서울,52.86333333333334,46.62,272.7504333333334
2020,3,서울,30.383333333333336,26.62,221.01703333333336
2020,4,서울,63.21,65.3,39.21609999999997
2021,1,서울,58.78666666666667,59.25,1.5652333333333388
2021,2,서울,46.98333333333334,46.25,29.45543333333334
2021,3,서울,40.85666666666666,43.51,91.58423333333334
2021,4,서울,54.67333333333334,53.57,47.767033333333316
2022,1,서울,60.44,67.33,142.83009999999993
2022,2,서울,53.623333333333335,62.35,434.64093333333335
2022,3,서울,38.13999999999999,31.22,206.2173
2022,4,서울,63.126666666666665,62.02,6.254633333333319
2023,1,서울,64.13,64.71,3.0746999999999973
2023,2,서울,47.96,46.18,24.65469999999999
2023,3,서울,37.21333333333333,37.03,22.635233333333357
2023,4,서울,55.083333333333336,56.23,29.501733333333327
2018,1,강원,61.773809523809526,61.769999999999996,70.11712171893147
2018,2,강원,51.98571428571429,52.425,35.59042508710801
2018,3,강원,47.44071428571428,48.93,57.40035801393728
2018,4,강원,57.218809523809526,57.144999999999996,77.70594732868757
2019,1,강원,63.695,64.07,83.23080609756097
2019,2,강원,55.99142857142856,52.985,82.58030034843208
2019,3,강원,40.94642857142858,39.075,103.24596010452962
2019,4,강원,51.96880952380951,51.67,75.56135220673636
2020,1,강원,58.199761904761914,57.44,61.180617015098726
2020,2,강원,54.04380952380953,53.34,69.32598513356562
2020,3,강원,33.256428571428565,31.73,65.45853083623693
2020,4,강원,61.49357142857142,61.015,56.711140592334495
2021,1,강원,59.738571428571426,59.489999999999995,58.443217421602796
2021,2,강원,47.85119047619048,46.614999999999995,71.05795220673636
2021,3,강원,41.87238095238095,44.474999999999994,168.21016980255519
2021,4,강원,54.01595238095237,53.2,124.28293687572588
2022,1,강원,62.769523809523804,61.47,144.6997217189315
2022,2,강원,55.26619047619048,61.55,192.30412659698027
2022,3,강원,38.34595238095238,35.41,112.85944907084784
2022,4,강원,54.792142857142856,56.105000000000004,125.13747090592334
2023,1,강원,60.224523809523795,61.36,61.1429668408827
2023,2,강원,51.5295238095238,52.66,29.262111962833924
2023,3,강원,39.28428571428572,38.85,29.35650801393728
2023,4,강원,54.766666666666666,54.57,84.28974959349593
2018,1,충북,59.576,59.27,45.77645428571429
2018,2,충북,52.032666666666664,51.27,24.911649523809526
2018,3,충북,50.42533333333334,50.58,32.494798095238096
2018,4,충북,57.88400000000001,56.83,30.950854285714286
2019,1,충북,61.68333333333333,62.38,50.61486666666668
2019,2,충북,56.01800000000001,52.34,85.05061714285712
2019,3,충북,39.91866666666667,39.91,73.34512666666664
2019,4,충북,52.86866666666666,51.14,32.01598380952381
2020,1,충북,55.09333333333333,56.82,72.05552380952379
2020,2,충북,53.856666666666676,48.87,111.24833809523808
2020,3,충북,31.551333333333336,28.81,96.22721238095237
2020,4,충북,59.33133333333333,59.65,18.33498380952381
2021,1,충북,59.24466666666667,59.38,31.4320838095238
2021,2,충북,47.23533333333333,44.41,45.257069523809534
2021,3,충북,40.529999999999994,42.5,78.12005714285715
2021,4,충북,54.838,55.2,20.788760000000003
2022,1,충북,62.804,67.7,113.72626857142856
